scorer,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000,DLC_resnet50_CforStickAs1Aug3shuffle1_500000
bodyparts,f1,f1,f1,f2,f2,f2,f3,f3,f3,m1,m1,m1,m2,m2,m2,m3,m3,m3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,119.9283676,82.41395569,1,115.8013535,79.53985596,1,78.09088898,68.01276398,1,75.67228699,63.71916962,1,71.12045288,61.1815567,1,38.71730423,39.41016388,1
1,119.9283676,83.68307495,1,116.6963654,79.63369751,1,80.72718811,68.01276398,1,76.25899506,63.71916962,1,71.13408661,61.36486053,1,38.84031677,39.77170563,1
2,122.17556,85.25974274,1,117.7659836,81.33383942,1,80.82016754,68.01276398,1,76.27465057,63.7300415,1,71.29603577,61.66717911,1,38.93614578,40.10850525,1
3,122.17556,89.36604309,1,117.8310471,84.26593781,1,84.80039215,67.57564545,1,77.27679443,64.24580383,1,71.29603577,62.43341446,1,39.21986771,40.82371902,1
4,124.3557434,89.36604309,1,122.3387756,84.26593781,1,91.36260223,67.57564545,1,82.33311462,65.36804962,1,76.64471436,62.79712677,1,41.42504883,44.84070969,1
5,131.1568909,89.39163208,1,127.8046951,85.93638611,1,91.48169708,67.57564545,1,83.9934845,65.65968323,1,78.13814545,62.93926239,1,42.97818756,45.40798569,1
6,133.3369751,89.39163208,1,128.7626343,85.93638611,1,92.22923279,72.61965942,1,84.85923767,67.69338226,1,80.08265686,65.17803955,1,46.55643845,45.82268524,1
7,135.3946533,89.36604309,1,131.2367249,85.19432068,1,92.36584473,74.92937469,1,87.98009491,70.72220612,1,84.2218399,67.78521729,1,51.46723175,48.83393478,1
8,136.4054108,89.39163208,1,132.4037018,85.93638611,1,93.86156464,80.94853973,1,88.73344421,73.3240509,1,84.40512848,69.69517517,1,51.53849792,49.50818634,1
9,138.0096283,91.20948029,1,133.6430206,88.56832886,1,94.25279999,83.04665375,1,88.73344421,75.21311188,1,84.87696075,71.37338257,1,53.15738678,49.53649139,1
10,136.4054108,91.58368683,1,132.4037018,89.19293213,1,94.10308838,84.66432953,1,88.67285919,76.53625488,1,84.87696075,73.87760162,1,53.84115601,50.1034317,1
11,137.8174133,91.20948029,1,133.6063538,89.19293213,1,94.25279999,84.66432953,1,88.67285919,79.11301422,1,84.87696075,75.44803619,1,55.14508057,50.12184525,1
12,139.0457916,92.19493866,1,134.4011078,89.36936951,1,94.73668671,85.16170502,1,88.57167053,81.90627289,1,84.85770416,79.12075806,1,57.03869629,50.45720291,1
13,137.8824768,91.20948029,1,133.9698639,89.19293213,1,94.73668671,86.06825256,1,88.41781616,81.97322845,1,84.62143707,79.33197784,1,57.50507355,50.47528839,1
14,137.8824768,87.02837372,1,133.9698639,85.4079361,1,95.44544983,86.95839691,1,88.41781616,83.04582214,1,84.62143707,81.0826416,1,57.54981613,50.54383087,1
15,139.0457916,87.02837372,1,134.4262238,85.4079361,1,95.59732819,87.03486633,1,88.57167053,84.75543976,1,84.62143707,82.40002441,1,57.55930328,50.88912201,1
16,141.1825714,88.90394592,1,136.2882996,87.35744476,1,97.10795593,89.96505737,1,88.68778992,85.73683929,1,84.9595108,82.68510437,1,58.62763214,51.99304199,1
17,141.1825714,87.02837372,1,136.5318298,85.4079361,1,98.12906647,90.40441132,1,89.2067337,85.85990906,1,85.01422119,82.97259521,1,60.45466995,51.99304199,1
18,141.1825714,87.02837372,1,136.5318298,85.4079361,1,98.18082428,90.73508453,1,90.40859985,86.23654938,1,86.27283478,83.1862793,1,61.5114975,51.99304199,1
19,140.291626,88.90394592,1,136.5318298,87.35744476,1,98.18082428,90.40441132,1,90.51449585,85.85990906,1,86.65327454,82.97259521,1,61.64608002,51.4863472,1
20,139.9666595,92.5921936,1,135.9613037,89.80162811,1,98.18082428,90.40441132,1,91.02684021,85.85990906,1,86.846138,82.97259521,1,61.77574539,51.4863472,1
21,139.9666595,91.19223022,1,135.9613037,89.34669495,1,98.44841003,91.1940918,1,91.52287292,85.85990906,1,87.34300232,82.97259521,1,61.77574539,51.4863472,1
22,139.9666595,93.1810379,1,135.9613037,89.80162811,1,98.53409576,92.03475189,1,92.79929352,85.42037201,1,88.82141113,82.79944611,1,63.48053741,53.52544785,1
23,141.6961517,95.81095886,1,137.4707947,92.1623764,1,99.65142059,90.1340332,1,93.27063751,85.42037201,1,89.23258209,82.79944611,1,63.49303055,54.55945587,1
24,145.2963257,95.6467514,1,140.8828125,92.82270813,1,102.3803864,90.1340332,1,94.17824554,85.42037201,1,90.00261688,82.79944611,1,63.49303055,54.96795654,1
25,145.3525391,95.6467514,1,141.2015228,92.82270813,1,102.5085983,92.03475189,1,95.61904907,85.42037201,1,91.23474121,81.8993988,1,63.82419586,54.96795654,1
26,146.6417084,95.6467514,1,142.4608307,92.82270813,1,103.4723434,92.03475189,1,97.00267792,85.42037201,1,92.74319458,81.8993988,1,64.11450195,55.18483734,1
27,146.6627808,94.36074066,1,142.7277374,92.19768524,1,104.0293961,92.50543976,1,95.98329163,85.81703949,1,91.80383301,82.2281723,1,64.11450195,55.18483734,1
28,148.7665253,89.44913483,1,144.4418335,89.22401428,1,104.228302,92.62981415,1,97.75240326,85.81703949,1,93.71261597,82.2281723,1,65.15338898,55.3601265,1
29,150.9654846,89.44913483,1,146.228363,89.22401428,1,104.570343,92.86289215,1,97.84030914,87.09470367,1,93.81925964,83.50135803,1,65.5487442,55.38117981,1
30,151.8614197,94.36074066,1,147.8022614,92.19768524,1,105.0525665,94.47714233,1,97.89910889,88.1960907,1,94.09329987,84.92722321,1,67.53665924,57.10089493,1
31,151.8614197,95.7767868,1,147.8022614,93.38550568,1,105.0525665,96.14259338,1,97.75240326,88.58234406,1,94.09329987,85.33799744,1,67.8694458,57.57663727,1
32,151.8614197,96.39772034,1,147.8022614,93.38550568,1,105.0525665,96.14259338,1,97.75240326,88.58234406,1,94.09329987,85.81610107,1,68.72807312,59.15200806,1
33,148.5087891,97.44859314,1,144.4945221,94.14997864,1,104.3920898,96.14259338,1,95.70386505,88.1960907,1,92.28328705,85.33799744,1,68.72807312,59.15200806,1
34,143.9134369,97.44859314,1,140.9480591,94.14997864,1,104.2746124,88.22650146,1,95.70386505,87.73439026,1,91.92284393,85.33799744,1,67.8694458,59.15200806,1
35,137.8926849,101.1870956,1,135.4186249,96.50896454,1,103.0693893,86.63354492,1,95.70386505,85.58221436,1,91.71644592,83.29216766,1,67.51683044,58.60296631,1
36,137.8926849,105.4550171,1,135.4186249,100.4536285,1,102.7552261,86.03174591,1,96.06247711,85.50132751,1,91.45401001,82.66520691,1,67.36396027,57.81526184,1
37,137.8926849,105.4550171,1,135.4186249,100.4536285,1,102.2400742,85.72919464,1,96.06247711,85.1033783,1,91.30476379,82.28376007,1,67.36166382,57.24326324,1
38,137.8926849,105.4550171,1,135.4186249,100.4536285,1,102.2400742,85.72919464,1,96.06247711,85.1033783,1,91.30476379,82.4188385,1,67.27522278,57.02032852,1
39,137.8926849,100.884407,1,135.4186249,95.94342041,1,101.3175278,85.64854431,1,95.59583282,84.00989532,1,91.13065338,82.28376007,1,67.20281982,56.7787056,1
40,139.6443481,96.57357025,1,136.8920593,93.18439484,1,101.1445847,84.74845123,1,94.63981628,83.93491364,1,90.93315125,81.84538269,1,66.8690033,56.54468536,1
41,139.8463593,96.57357025,1,137.2505493,93.18439484,1,101.1445847,84.27659607,1,94.63981628,83.67248535,1,90.93315125,81.57239532,1,66.8690033,56.54468536,1
42,141.1410675,96.38636017,1,137.6100464,92.91136932,1,101.1445847,80.68800354,1,94.63981628,81.21356201,1,90.93315125,80.01298523,1,66.62700653,56.44493866,1
43,141.1410675,96.38636017,1,137.6100464,92.91136932,1,103.9898376,80.68800354,1,97.08535767,81.21356201,1,92.65345764,80.01298523,1,66.8690033,56.44493866,1
44,142.8254242,97.61645508,1,138.4361877,93.36738586,1,104.587616,79.18238068,1,97.08535767,81.21356201,1,92.65345764,80.01298523,1,67.64406586,56.54468536,1
45,142.8254242,100.6992722,1,138.4361877,97.33770752,1,104.587616,79.18238068,1,97.08535767,81.73073578,1,92.65345764,80.01519775,1,67.64406586,57.53759766,1
46,140.96521,103.1535187,1,137.1678467,98.37787628,1,103.9898376,79.18238068,1,95.11310577,82.03025055,1,90.72029877,80.97766876,1,66.57661438,57.53759766,1
47,140.96521,103.1535187,1,137.1678467,98.37787628,1,104.4870224,79.18238068,1,95.11310577,82.03025055,1,90.72029877,80.97766876,1,66.16713715,57.74871445,1
48,141.3447266,102.5093842,1,138.0861664,97.33770752,1,104.4870224,78.53764343,1,95.11310577,82.03025055,1,90.72029877,80.97766876,1,64.64561462,57.762146,1
49,141.3447266,102.5093842,1,138.0861664,96.9150238,1,104.4870224,78.53764343,1,97.73866272,81.75981903,1,92.15084839,80.97766876,1,64.64561462,57.762146,1
50,144.2598877,98.65119934,1,140.2210236,94.77878571,1,105.3565369,78.53764343,1,97.96179199,81.75981903,1,92.17300415,80.97766876,1,64.64561462,58.17780685,1
51,144.2598877,98.65119934,1,140.2210236,94.77878571,1,105.9220047,79.08904266,1,98.27172852,80.97422791,1,93.0874939,79.96230316,1,65.95085144,58.88007736,1
52,144.2598877,98.65119934,1,140.2210236,94.77878571,1,106.1771774,79.5032196,1,98.29319763,80.97422791,1,93.13311768,79.96230316,1,66.59632874,58.88007736,1
53,142.469986,102.0674362,1,139.1737671,96.31763458,1,106.2490997,79.5032196,1,98.79335785,80.72354889,1,93.38680267,78.84581757,1,66.59632874,58.88007736,1
54,141.6282501,104.0075531,1,137.3795776,98.75022125,1,106.8090363,79.08904266,1,99.41418457,80.6394577,1,93.39976501,78.81937408,1,66.59632874,57.73258972,1
55,141.6282501,104.2405777,1,137.3795776,98.75022125,1,106.822731,75.59762573,1,99.45315552,77.39233398,1,93.39976501,76.59534454,1,66.59632874,57.64416504,1
56,139.2725983,104.0075531,1,135.9671173,98.71686554,1,109.9888153,75.0994339,1,101.4052658,75.90251923,1,94.64646149,74.37702179,1,66.59632874,57.64416504,1
57,139.2725983,103.7073822,1,135.8060608,98.71686554,1,109.9888153,75.01681519,1,101.4052658,75.66024017,1,94.64646149,74.1701355,1,66.21791077,57.73258972,1
58,139.6007233,104.2405777,1,135.9671173,98.87343597,1,110.4709015,75.01681519,1,101.4054031,75.66024017,1,94.68055725,74.1701355,1,66.21791077,57.79093552,1
59,139.6007233,103.7073822,1,135.9671173,98.71686554,1,110.0149384,75.0994339,1,101.6065445,75.90251923,1,94.77915955,74.37702179,1,65.96295929,58.23787689,1
60,139.2725983,102.6924286,1,135.7389984,97.87702942,1,109.9888153,75.01681519,1,101.4054031,75.68732452,1,94.64646149,74.51551056,1,65.15618896,58.28255081,1
61,139.6007233,102.6924286,1,135.7389984,97.87702942,1,109.8619995,75.2175827,1,101.2722778,76.18167877,1,94.56098175,74.60507202,1,65.09281921,58.23787689,1
