scorer,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000
bodyparts,f1,f1,f1,f2,f2,f2,f3,f3,f3,m1,m1,m1,m2,m2,m2,m3,m3,m3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,99.20606994628906,101.59529113769531,1.0,99.48113250732422,98.21969604492188,1.0,127.66328430175781,73.79678344726562,0.9999887347221375,132.1800537109375,72.3490982055664,0.9999995827674866,136.5210418701172,71.58711242675781,0.9999983310699463,172.3173065185547,82.69974517822266,0.9999994039535522
1,98.16936995642594,101.47863183191768,1.0,98.19234669908725,98.00437267209487,1.0,126.88503199025666,73.72209214756082,0.9999915957450867,132.14153740940407,72.33743049357619,0.9999996423721313,136.48858613693318,71.57677959905246,0.9999993443489075,172.3025028404502,82.68701139977912,0.9999992847442627
2,98.76474146115322,101.08849539717336,1.0,98.73962384306334,97.5541900989233,0.9999998807907104,127.38654084492889,74.03785599170855,0.9999896287918091,131.97259727075715,72.59525695282109,0.9999997615814209,137.0705684722255,71.46120505396945,0.9999973773956299,172.7515957184237,82.37041993565987,0.9999992251396179
3,98.5817297239674,100.18257724002777,1.0,98.77734175303237,97.21796940035476,1.0,128.26178385236602,74.3275176403839,0.9999954700469971,132.46654799802957,73.65441421805605,0.9999998807907104,137.0821573058706,72.4359847557847,0.9999986886978149,173.22696107237445,82.17183155894755,0.9999992847442627
4,97.99624767868616,101.7091786662306,1.0,98.42773429198974,100.73949091116273,1.0,127.04487482162351,74.88471668967543,0.9999985694885254,131.97757582835834,72.86815618428341,0.9999973773956299,136.7456052034846,72.06077032398673,0.9999994039535522,172.65922151814726,81.76985007161728,0.9999984502792358
5,97.51600390933925,102.71297379640524,0.9999999403953552,98.22110679660622,96.7482161381213,0.9999998807907104,131.72114227564407,76.04181607192942,0.9999992847442627,135.11432086644146,73.01621534364916,0.9999997615814209,140.1569575721166,73.0418366840647,0.9999998807907104,174.5256415868115,80.77275689631153,0.9999991655349731
6,96.83585105073429,103.27195333290733,1.0,97.57924775937988,103.70183377087474,0.9999997615814209,130.41928013630957,79.0027577483977,0.9999953508377075,135.9752865204197,77.3439490302756,0.9999998807907104,140.88647377602314,76.34753906717168,0.9999996423721313,176.02451418040272,79.73436590287773,0.9999985098838806
7,96.12235733476281,105.64600012216039,0.9999999403953552,97.4472826302673,101.6923329274102,0.9999998807907104,128.0675662801576,77.1679997043692,0.9999984502792358,132.2226827601411,75.29165689457596,0.9999998807907104,136.76550034464452,74.9443371145763,0.9999999403953552,173.9127897861253,79.04509679840606,0.9999984502792358
8,96.34832455392876,105.85369858100438,1.0,99.11375245925221,101.1874466151603,1.0,130.98984963191862,78.7090065199308,0.9999950528144836,134.48510071798032,76.61886285771786,0.9999998807907104,139.15007531321805,76.38204934161115,0.9999995827674866,175.56725136523858,78.00416405745175,0.9999992847442627
9,96.5378411370328,102.40661672871133,1.0,96.83663256448298,99.60116797593236,1.0,127.68657196217072,77.51945260559903,0.999993622303009,132.35042312784353,77.29634585642366,0.9999998807907104,136.60407732794155,76.54544428293545,0.9999995827674866,174.3868135703325,77.04904970675823,0.9999995231628418
10,95.94638338231971,102.81932307172974,1.0,99.72798084054594,103.81549624740734,1.0,129.17411883302478,78.81546750861114,0.9999926090240479,132.48175270623346,77.63897302082707,0.9999998807907104,136.8844423363017,76.65779398969687,0.9999974966049194,174.05176701973863,76.40535334095695,0.9999996423721313
11,96.57813775815201,102.11117217251295,1.0,98.31885868630798,93.80542214896381,0.9999998807907104,127.50351942297942,76.88856187396215,0.9999934434890747,131.69967595555943,78.46217612416764,0.9999998211860657,136.29939486359154,78.03670427034066,0.999997615814209,173.4216582986229,75.57057891561396,0.9999997615814209
12,97.26807373134922,102.90043948770482,1.0,96.90400200981071,107.32393039474321,1.0,126.78320969029846,78.41014349299468,0.9999906420707703,130.62719766793722,80.79446085217916,0.9999997615814209,135.60626243979192,78.83265012089763,0.9999929666519165,173.10610236922068,75.18324863352683,0.9999994039535522
13,96.88774794780774,102.88500508318334,1.0,101.14444282271194,92.94312719083828,1.0,128.73008529432855,77.17694467627054,0.9999960660934448,131.21628964435473,81.20160910334734,0.9999997615814209,135.68568819684452,79.10750621499426,0.999999463558197,172.61979337491545,72.29670339926199,0.9999991655349731
14,97.26433312410282,102.03948732177159,1.0,95.00519725660443,104.49575007222757,0.9999999403953552,128.67321345793704,76.74461413080954,0.9999982714653015,132.9296384314799,77.81975665824194,0.9999998807907104,137.22974296367346,77.69524177288478,0.9999997019767761,173.16796056905534,72.73088194710834,0.9999982714653015
15,96.38813658086731,101.29741372267608,0.9999998807907104,100.70862752462149,96.09477562624431,0.9999998807907104,129.07590475951193,77.38118051354449,0.9999974966049194,132.76182714505762,77.421519995572,0.9999998807907104,137.033402023132,76.9094880810082,0.9999999403953552,175.6941337554748,74.91486759040178,0.9999983310699463
16,94.53871873811565,102.90755529820981,0.9999998807907104,94.26244718559644,102.8500696655928,0.9999998807907104,129.53852525171666,78.15896637045157,0.999997079372406,133.5484670765667,76.98221928685871,0.9999998807907104,137.96965423903157,76.73487059675182,0.9999995231628418,175.4901189624415,76.0430069951346,0.9999989867210388
17,94.63191926592928,103.59367625643259,1.0,101.1707647345885,99.45064629544268,1.0,128.68636733409494,76.97065268409514,0.9999973773956299,132.6989038848718,76.917091805001,0.9999997615814209,136.86525858668597,76.72634249473482,0.9999997615814209,174.80530430948392,74.98779921190525,0.9999983310699463
18,96.56961653085911,103.10440075085265,0.9999998807907104,95.6430874786101,99.11448922998726,1.0,130.00519325911375,76.55059348503019,0.9999982118606567,133.56701736924038,76.79468520205515,0.999999463558197,137.89017957108433,76.98329938709178,0.9999997019767761,175.54484746107877,75.40694070549931,0.9999978542327881
19,98.54783573102986,102.13453207384109,1.0,102.85605102099642,101.3266083751399,0.9999998211860657,130.3863743506414,76.7827405593946,0.9999980926513672,134.11266437807987,77.08815803858573,0.9999994039535522,138.46535955337714,77.46869556269932,0.9999999403953552,175.6968782264878,76.43345247220932,0.9999975562095642
20,100.17587333862616,105.75681737236386,0.9999999403953552,98.72128023217599,103.19017951011088,1.0,130.5284172022358,77.92257347034038,0.9999971985816956,134.40680495351216,77.38354561214123,0.9999979734420776,138.82005946034695,77.42724932103367,0.9999990463256836,175.42601340966516,76.75331729264862,0.9999983310699463
21,101.26976599428359,105.83980047769319,1.0,102.13405203667129,98.60557623367868,0.9999998807907104,131.3917670586141,78.98134801770162,0.999992847442627,134.60351765060045,80.67562768457952,0.9999997615814209,140.02631788870465,79.52555147189025,0.9999963641166687,175.5759586276946,76.64649267075295,0.9999989867210388
22,100.66612480855328,103.78785122881278,1.0,97.68872479240505,102.06850138610747,1.0,129.53657057916763,78.50466675150795,0.9999943375587463,133.04002552866268,81.55248567611488,0.9999994039535522,137.9682597310598,80.78506336544132,0.9999983906745911,175.13224856691937,76.90913117629636,0.9999977350234985
23,99.78631042854735,101.85205772212066,1.0,102.0937314244407,97.98283705111194,0.9999998807907104,130.32945387134532,77.45352633754572,0.9999940395355225,133.25955240972166,78.57633941488659,0.9999997615814209,137.656025842924,78.41779009381794,0.9999986886978149,175.9246695836585,76.78929408520251,0.9999968409538269
24,100.49744501144448,101.41491601472322,1.0,98.29742974669813,97.67793195358544,0.9999998807907104,129.50721815504315,76.33161354378204,0.9999876022338867,132.79625042468393,77.48266670436087,0.9999992847442627,137.02261200461618,77.42886709950412,0.9999880790710449,175.96124969961247,77.32293686028787,0.9999959468841553
25,101.397367360697,100.29203758394308,0.9999998807907104,102.61521686974677,98.05034797556215,0.9999995827674866,127.83014980155802,74.96303082645841,0.9999911785125732,131.70467783119778,77.27262719464751,0.9999997615814209,135.616270142268,77.5048522137747,0.9999983310699463,176.13033152105567,76.34103766497941,0.9999951124191284
26,101.97942082568147,100.10927675231396,0.9999999403953552,101.18211788787958,95.78667143215128,1.0,130.06710862637226,74.78841942339376,0.9999924898147583,133.01781341551813,76.80848388805671,0.9999998211860657,136.95490521451498,77.21465556437002,0.9999964833259583,175.4191611997634,76.82098729569772,0.9999945163726807
27,102.98381746321496,100.92702514257708,0.9999998807907104,102.0754866981355,100.25154870292268,0.9999997615814209,126.90161528018402,75.35937705306962,0.9999964833259583,131.65396821279754,76.47264083340208,0.9999997615814209,135.5590368702073,76.41130829126325,0.9999980926513672,175.78997047963475,79.02273269617433,0.9999933242797852
28,102.78407534852897,104.270080643601,0.9999998807907104,101.57868865210797,99.86444854304101,0.9999997019767761,129.97087335737984,75.83818693896589,0.999997615814209,132.69235670496963,76.00840967002488,0.9999998807907104,136.64719328358473,75.98372917235952,0.9999990463256836,176.2606473605968,78.9316697467938,0.9999992251396179
29,101.5462088125882,105.32020623505512,0.9999999403953552,102.26128095703933,101.61297306253721,0.9999998211860657,129.18269220307224,76.351079548143,0.9999991655349731,132.6740590769271,76.24511103441954,0.9999995231628418,136.73113765575144,76.38652231602583,0.9999989867210388,174.76138169860332,81.70794714416827,0.9999986886978149
30,102.46644138039811,106.27941879405746,1.0,104.93615369181477,103.19548261317328,0.9999998807907104,130.0728221878304,77.33251092298974,0.9999994039535522,133.8426304995967,76.8790733234104,0.9999988079071045,137.80265935616646,77.19041235336366,0.9999991655349731,174.9242979188441,81.44364947161857,0.9999994039535522
31,103.10147892503268,105.37198276563156,1.0,97.84521449178723,100.66112166791441,0.9999998807907104,131.06104110620555,76.68724483771972,0.9999993443489075,134.61153482772448,74.5105363681276,0.9999991059303284,139.25340191084163,74.97810888838858,0.9999995231628418,175.3931679304613,81.07223280142063,0.9999992251396179
32,100.83262780570804,103.54372425477685,0.9999998807907104,107.96774948663415,100.30744718660475,1.0,131.1885911043177,77.53836910241826,0.9999987483024597,134.49681058705505,76.47975774501953,0.9999997615814209,138.8913643044918,76.56919081462398,0.9999998807907104,175.12686174862296,80.95558660613104,0.9999992251396179
33,101.9141978954724,103.86737986834704,0.9999997615814209,99.57020054775231,103.37460043436538,1.0,130.54711152614135,77.7189786638282,0.9999986290931702,134.26285081960947,75.65150258627249,0.9999997019767761,138.41573859126606,75.63622059121512,0.9999997615814209,175.21304111575847,80.79638179249577,0.9999984502792358
34,104.82061992066141,105.44758040241194,1.0,107.75316881372538,99.00855767872767,0.9999999403953552,130.81190811337729,77.60600140257237,0.9999983310699463,134.2420338211448,75.9288822561969,0.9999997615814209,138.37816490597538,75.86097977107859,0.9999996423721313,174.75517009051435,80.59365780140885,0.9999988079071045
35,103.84641239547452,105.61475405983344,1.0,97.85454028246683,104.30951755442595,0.9999998211860657,130.05065741788124,77.47348938058394,0.9999993443489075,133.58771947071043,75.05417849575882,0.9999997615814209,137.59467472283478,75.06657870429055,0.9999998807907104,174.9350119304146,80.50767055397966,0.9999988079071045
