scorer,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000
bodyparts,f1,f1,f1,f2,f2,f2,f3,f3,f3,m1,m1,m1,m2,m2,m2,m3,m3,m3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,114.14168548583984,138.5782928466797,1.0,117.9000244140625,136.53848266601562,0.9999998211860657,149.5757598876953,123.78814697265625,0.9999995827674866,155.17481994628906,122.66209411621094,0.9999992847442627,159.1756134033203,121.13916778564453,0.9999968409538269,197.3492889404297,104.73878479003906,0.9999998807907104
1,114.13506102347117,138.56414905663655,1.0,117.88722408492471,136.52850024512367,0.9999995231628418,149.56736092616111,123.78615575114529,0.9999998807907104,155.16437436184495,122.6517200941718,0.9999990463256836,159.16639973056783,121.05204016192235,0.9999995231628418,197.3463408582091,104.73877417558325,0.9999998807907104
2,114.5047242516694,146.19894091330747,1.0,117.00473646314137,144.07144011228587,0.9999998807907104,147.44012862881056,124.09019062350484,0.9999998211860657,152.1525998602579,120.0153058935031,0.9999997019767761,157.19544845958197,119.4059613881717,0.9999997615814209,195.9199036570314,105.96059623746636,1.0
3,110.05689614377377,145.6029277263143,1.0,113.4483145651833,143.99324597889265,0.9999995231628418,146.00113780528167,126.22561035815536,0.9999991655349731,151.4268936967144,123.25271388533014,0.9999996423721313,156.13040796291654,122.60966034346579,0.9999994039535522,192.64533539443798,106.51312124776268,0.9999998807907104
4,105.71741919708887,143.21863664071782,0.9999999403953552,108.49640038776823,141.86944961872473,0.9999996423721313,142.20120373325182,125.67262868261273,0.9999977350234985,149.46860605673328,125.67279478639585,0.9999998807907104,154.01276193246548,124.50974624402937,0.9999998211860657,190.985486422154,108.18012410026029,0.9999999403953552
5,105.13470653110394,140.08337140438869,0.9999998807907104,107.67838133283918,138.78284484953747,0.9999997019767761,142.4933228400248,125.56420777019697,0.9999959468841553,150.51850723632128,122.3170556823584,0.9999997615814209,155.2945535880196,121.33006324065579,0.9999997615814209,192.3253025738727,106.96531464621253,1.0
6,104.87232743573762,139.65680846121904,0.9999998807907104,107.40632474932711,138.43461733945432,0.9999998807907104,142.78294809231906,125.6461547916333,0.9999995827674866,150.86501526329025,124.35031020053535,1.0,155.46455687172403,123.48636909330233,0.9999997615814209,188.61986703075308,106.60100504093953,1.0
7,103.34947767223383,147.06028296767946,0.9999999403953552,106.58992409644942,145.08590815853884,0.999999463558197,141.95448105375652,125.85844945489679,0.9999998211860657,148.54429544425176,121.98705344009133,0.9999998807907104,153.1671047041365,120.5410794361772,0.9999990463256836,190.05126635863513,107.96571802755635,1.0
8,101.140447804839,143.71249293544017,1.0,104.92388298889469,142.2579343746076,0.9999998807907104,141.7983924450044,130.08288423028995,0.9999998807907104,150.28144161405447,128.83511440408745,1.0,154.7234137177257,127.24216682786081,0.9999995827674866,187.58758340291752,109.11415465472636,0.9999998807907104
9,98.5358550372717,144.27754317903955,1.0,101.79206106465158,142.05216863221744,0.9999998807907104,140.20120099317083,130.04017499957007,0.9999998211860657,147.4656257361434,129.4461831383722,0.9999998807907104,153.35777209398543,127.37729506412066,0.9999970197677612,185.4012321779694,109.87586675391069,0.9999997615814209
10,96.09490938531289,140.80039369797285,1.0,99.94577043095433,139.36147532233684,0.9999998807907104,141.03763012386423,129.22665351472543,0.9999994039535522,148.6325451568468,126.98293079525182,0.9999998211860657,153.32870872129206,125.11061967884929,0.9999967217445374,184.82231858975587,109.03085305825299,0.9999999403953552
11,97.671788106373,138.321299604998,1.0,101.04944683665465,136.17935584134005,0.9999997019767761,141.47937851937684,128.86916096434743,0.9999996423721313,149.28474674563202,126.79665524106926,0.9999998211860657,152.29579498471747,125.09720370431762,0.9999980926513672,185.35426607572225,110.03567226928715,0.9999998807907104
12,101.82014997276445,142.3908055017918,0.9999998807907104,104.74787673369917,140.15052963887666,0.9999997615814209,141.75826741033094,128.7615587254527,0.9999998807907104,149.5201802951467,128.06614484813252,0.9999998807907104,154.24197338342438,126.77565828731515,0.9999992251396179,185.59895650437218,109.70312105766881,0.9999997615814209
13,97.42990507051496,136.09568268129647,1.0,100.73950921521431,136.50825384724453,0.9999998807907104,141.7993721111248,130.76821490384418,0.9999997615814209,147.81850774246047,128.77868663000126,0.9999998807907104,152.3558266325394,126.62880800995882,0.9999986886978149,183.79969996628938,110.34650548519076,0.9999997019767761
14,97.66805099001465,138.91566393395595,1.0,101.5768887971322,136.73384158558804,1.0,141.16685617502924,127.58188851560497,0.9999998807907104,147.6588991115069,124.73567449306665,1.0,151.95506815236502,124.05241849797045,0.9999998211860657,185.04434066447638,110.74238702629876,0.9999998807907104
15,98.97850683541517,151.02962168120365,1.0,99.99900884408488,148.11308050306587,0.9999999403953552,138.35833248559658,128.43909556894653,0.9999997019767761,145.48011318910403,126.01188937169225,0.9999998807907104,150.04702085761053,124.27751946004584,0.9999999403953552,183.3399604275494,111.87740239450042,0.9999998807907104
16,94.6160096468545,146.1437111491814,1.0,97.53048323470993,143.18346431945244,0.9999997615814209,137.0880927240965,127.33625329961401,0.9999997019767761,144.14376375300532,125.65864986408727,0.9999999403953552,148.78137630988596,123.9589495031268,0.9999998211860657,182.41560183843566,112.82975782688641,0.9999999403953552
17,94.34272063644256,129.4993529512612,1.0,98.37015600857781,129.7564311465116,1.0,139.74986178398012,129.04967521404552,0.9999983310699463,145.31932409425042,125.24253428506637,0.9999996423721313,149.10792851298362,123.43636894052358,0.9999998807907104,183.04558284920006,112.46240184183591,1.0
18,94.9767394075587,140.7964997274968,1.0,98.20658536369595,138.40954373769142,0.9999999403953552,137.74822437601057,127.38350305450527,0.9999984502792358,141.97628268252942,124.84809446087897,0.9999997615814209,146.35502243527282,122.77091903915286,0.9999996423721313,180.59761226769714,113.69211120144723,1.0
19,97.43334632013804,141.7709123193618,1.0,99.92459264954736,139.32369666122872,0.9999991655349731,137.5920046242042,128.16606217092138,0.9999971389770508,141.5795418751801,123.46544027598738,0.9999997615814209,145.34799955508305,121.1535678462475,1.0,182.5397171856664,113.35245629555769,1.0
20,92.10803086964647,133.55731806872294,0.9999998807907104,95.89139438633967,133.5796089701214,0.9999982118606567,137.27137300826013,128.55050877547637,0.9999885559082031,143.09367303165374,126.96310115801356,0.9999995827674866,146.88602508788887,124.42670130138576,0.9999994039535522,181.521229546671,114.11674604570692,1.0
21,93.18172214922703,134.21065446145735,1.0,96.62694359643316,132.2181875120714,0.9999998211860657,135.50995365830875,129.71603334054515,0.9999988079071045,141.87784529189855,127.87720584321511,0.9999996423721313,145.41335013933485,125.73115893286528,0.9999995827674866,179.61043809415287,114.26267542687418,1.0
22,94.56911707824204,133.70723198156367,1.0,97.92632448248239,132.3909267017002,0.9999997615814209,135.40593097241157,128.5263264563823,0.9999994039535522,138.0140300819275,123.10339620984504,0.9999998807907104,142.25266434865938,121.09270472413158,0.9999997615814209,179.6863125457359,114.2443717845006,1.0
23,94.0435154605946,133.40877466839777,0.9999998211860657,97.55809337240086,132.2612493472312,0.9999996423721313,134.28810414237228,128.97434329603954,0.9999978542327881,136.1680188239779,124.61379729463886,1.0,141.27873252321464,123.23836557222783,0.9999998807907104,176.34903902310884,115.1430482204665,1.0
24,95.39718799625719,138.34152405864154,0.9999998211860657,98.20456244269947,136.7975918371427,0.9999996423721313,132.75152724992563,126.0954725085463,0.9999997615814209,134.8074309535103,123.00723640097759,0.9999997019767761,139.91707910773997,121.60437929165771,0.9999998807907104,174.6342843387726,115.78053504146949,1.0
25,93.07022809127905,137.45817049991842,1.0,96.9000117599904,135.89904047999664,0.9999996423721313,135.570332378227,129.0618733052445,0.9999998807907104,137.24612794175542,121.4411878606293,0.9999998807907104,142.8517424368794,120.29093670484663,0.9999995231628418,178.56205476656177,115.13554417587565,1.0
26,91.74458632709099,133.9593033208955,1.0,95.15070394164644,133.75213443095544,0.9999994039535522,132.64751428184735,128.65829776139714,0.9999994039535522,132.7608006512225,122.07009595539775,1.0,138.15665885793618,120.78525893950959,0.9999995827674866,176.0502486445736,113.05145422582743,1.0
27,92.22107452445002,129.8926464876163,0.9999997615814209,95.9894415543518,129.96837027432287,0.9999998807907104,134.67176873620974,130.78912153858124,0.9999989867210388,133.79916701499525,122.49768708999264,0.9999998211860657,138.79314539361286,120.76921841070148,0.9999997615814209,176.71071448490085,113.9970705265852,1.0
28,92.49204076276479,126.77857535537937,0.9999998807907104,96.98451199139261,126.7133115424502,0.999999463558197,136.485765914321,130.34936912947813,0.9999977350234985,136.27335314852428,123.10553626814301,0.9999998807907104,141.62803637927846,121.08565227233993,0.9999998807907104,177.55610542147582,111.4693813926933,1.0
29,89.87726992755174,132.9116595314724,0.9999998807907104,93.04498505760603,133.11027842038493,0.9999983310699463,134.74268169417226,129.43087329649282,0.9999978542327881,141.19671014179954,126.6686499329093,0.9999998807907104,144.4518015219057,123.79716187296802,0.9999996423721313,176.58548562331808,106.18419328235584,1.0
30,91.90045098389925,134.617654625871,0.9999992251396179,94.79321333768443,133.573305932668,0.9999969005584717,135.02750918201662,128.39552473092965,0.9999973177909851,138.1466185934463,123.08899026829198,0.9999999403953552,143.06202965894386,120.86981158785868,0.9999998807907104,177.79242880348946,106.28882780438155,1.0
31,94.32045866345516,137.277293697433,1.0,96.96829020843873,134.8185393070555,0.9999994039535522,133.8645047486464,127.19906618344355,0.9999982118606567,139.05218706875877,124.89231173570818,0.9999999403953552,143.15630485434812,122.51776439156862,0.9999997615814209,177.15047858355155,106.24143934249938,1.0
32,93.03002321364339,132.30694300600624,0.9999996423721313,96.6706739239844,131.03246603000986,0.9999973177909851,135.73276381348967,128.54046411494232,0.9999984502792358,138.96832994162324,123.63632718270965,0.9999998807907104,142.98353056269124,121.09968536382118,0.9999998211860657,177.75305818330222,107.06884505911776,1.0
33,94.12631761448478,139.28827589729514,0.9999998807907104,96.2930985216957,135.87472913195973,0.9999990463256836,134.0841772723245,127.50865259160636,0.9999969601631165,139.38357851119656,124.80621433485867,0.9999998807907104,143.38784248721424,122.24847692129967,0.9999998807907104,177.12301670123384,106.63509965217214,1.0
34,92.62537160596855,134.63227485851712,1.0,95.29128299657046,133.75086657542238,0.9999995231628418,135.42165344710486,128.29891772031417,0.9999964237213135,140.55854112895474,125.35368598686388,1.0,144.66302686942328,122.45197585594613,1.0,177.5569404092799,106.21733514281212,1.0
35,91.54825017711309,131.74574627311674,1.0,94.29077963348234,131.4378021933739,0.9999996423721313,136.10886967917554,129.789263479175,0.9999994039535522,140.82584842675874,125.23511661529989,1.0,144.24975740116426,121.94560465072394,1.0,177.54047779092917,106.05984883091483,1.0
36,90.13115781756176,129.96840830088604,0.9999995827674866,93.82981437044047,130.5296067602871,0.999998152256012,135.03266015984647,128.7570038813909,0.9999989867210388,139.2751953750912,124.53454041497017,0.9999998807907104,143.4812596908563,122.0613235773236,0.9999999403953552,176.66408093317932,106.11922503013935,0.9999999403953552
