arrow,x0,y0,x1,y1
0,696.0932196727318,639.0393327859969,677.7873416300013,600.9395635736531
30,721.6388510519298,620.3739479746622,663.5871375188876,598.9902993022795
60,723.4763024365858,627.61710815011,689.2290254936836,617.8094549082202
90,730.1348465654237,630.4391471259878,694.2462306024516,625.1194177773156
120,726.6694342365497,647.4295271115097,698.3843742276192,635.9803590506974
150,722.2796652862454,648.1126983689452,688.2712933370121,639.8023383581135
180,730.6189986643434,642.8732164150483,695.9228507797517,641.4846162885708
210,721.4843186953324,646.9559458154048,687.0164875797295,640.4951011196638
240,717.5213040425043,655.4801564091067,681.1309182080588,650.1564834790485
270,978.5987699566873,777.1636966011688,715.9854728799129,648.360537081742
300,739.6679386284038,628.2057012965882,709.6313060334876,620.8916018704924
330,729.9974588494529,623.6766660811795,695.0416396480748,618.6974815964858
360,740.1399603684888,617.6978141098997,700.9277521862667,605.9349916122987
390,745.9830284856025,613.7324345036245,700.3647605476503,606.8538041603614
420,743.5850499871636,618.9682636054581,695.1741039085989,617.349540934835
450,744.6191701015184,616.4453846328023,694.7725158799083,612.2289880142283
480,741.902620145666,621.5236582348152,699.4130176156724,625.2529992204825
510,741.037738448224,627.2448477859281,691.5567739558711,628.2456349661364
540,743.3561205631192,630.6933879648518,704.3061009464321,629.4077662072294
570,740.6728790599235,634.7341201267883,693.9847431134305,633.8518216707374
600,751.3322857182723,632.7306742306021,705.2432727345831,629.0895123805715
630,736.2262212783714,638.3865097844206,701.532792524018,628.8024607017691
660,741.5339661255967,642.378209174485,701.9275101825464,634.3384267041032
690,737.2296981721971,650.3344915549008,693.6027173402865,630.7507650680977
720,730.1432945073094,653.6443022492131,694.7814983747659,644.7050236900689
750,741.428409953249,642.1945031043765,688.2647696398918,639.0938649462432
780,735.4784166451112,659.3656290608902,695.5394889783464,640.6121313461672
810,724.5294724599939,671.5541258775903,697.7651427055495,647.2642856280365
840,735.7518445489028,669.2303791624906,710.8485880877124,626.5258735906591
870,741.6409778185324,663.0971135948595,708.1244238659554,640.3028973364297
900,737.0169587232778,673.0983070699543,703.3910081373602,639.7533462969616
930,741.3777677034955,668.2615388331243,703.9426863248211,638.1020994705524
960,755.4341895263092,659.9336203383705,702.7880220580977,639.1213033631079
990,739.0959761448444,671.442980621479,716.0510220460143,621.3798288689642
1020,722.8909113610325,680.7043356708654,712.8802423448499,639.5894643699511
1050,742.0660666687158,657.1901150043725,724.0217809394537,639.263401176735
1080,757.4109720666273,655.3736062200619,723.2023740432753,647.1113396009232
1110,740.8305700218688,668.0199488840091,696.8526846341856,641.3603241950854
1140,742.6358316212912,677.3238826117374,705.2131387218174,634.5645810285756
1170,750.6887040114748,669.4250122232971,718.2199566292728,641.1265587553348
1200,760.9754311915068,665.2424588674837,703.9396840473225,639.7272046151946
1230,742.1540846447814,666.8016416165196,725.8611611839191,633.0377301843686
1260,733.6498715742679,667.4141057331307,707.7369652131932,624.9782112584205
1290,723.4807734597174,669.9920694143224,694.5227501264352,637.0074606350317
1320,729.5813619790182,676.272218103807,711.4415771326065,644.3030302482247
1350,734.480680993637,665.6513218638487,712.1274003971903,642.1172060154233
