arrow,x0,y0,x1,y1
0,858.7177844,770.9291573,889.0679311,819.014976
30,849.1007604,791.7066426,883.5333498,823.9683029
60,868.5126517,764.0437062,878.1495979,813.4890773
90,848.2091194,791.5937684,889.8452312,818.5811712
120,849.9743857,787.0331381,888.3335072,820.1146274
150,842.1267531,792.8597811,890.4262702,812.9395289
180,843.3226446,797.50664,886.9412302,814.3778798
210,839.1679527,796.5755791,890.9726962,811.2728513
240,842.1691924,796.3957051,879.9163481,820.1760884
270,848.021339,790.9607446,873.8843487,817.3475989
300,850.7714242,788.0543388,906.2439613,800.8935734
330,841.3516298,795.7234983,925.787027,774.8733247
360,840.0198713,796.0283258,923.6726471,770.7793131
390,846.1561986,794.1309686,940.2533316,768.7884743
420,839.180632,796.1003455,942.2859828,772.7744749
450,842.8995141,796.2219553,937.9607071,778.8165183
480,848.6404636,793.0261507,941.4236657,775.2633237
510,838.7679406,799.3025655,938.7572336,773.6481238
540,851.8518441,780.7852452,936.4330451,785.7599476
570,843.0982765,798.2312591,937.8293024,768.517515
600,846.6951858,794.8453568,933.6707104,772.4357048
630,845.4434278,793.2481118,930.7441428,767.1562622
660,844.0912244,796.9227337,930.9151416,767.8992776
690,853.0380215,793.2120904,927.1024855,766.5558899
720,857.7104526,784.9680524,920.8631322,780.6198678
750,874.3139546,775.5560158,911.5289456,769.6346769
780,865.6878904,759.0067781,907.0130597,786.8171139
810,875.4641895,768.4738677,895.6460862,767.9789743
840,877.2490892,761.4077859,891.7070172,776.2407636
870,878.0291241,759.5757146,895.8061334,767.1766174
900,866.2256111,759.6406936,895.2123033,775.6080654
930,886.1644637,766.3195868,895.5071856,764.3359585
960,887.0125468,743.8268134,876.7456407,823.5681967
990,891.1890739,739.5163178,863.218628,824.3259156
1020,886.0677943,743.8653029,873.8692449,825.2937876
1050,893.9742087,748.7317785,869.5100013,817.2562865
1080,879.8348316,762.3566775,885.5295449,828.2100505
1110,882.303744,760.5562489,887.8162155,824.4275474
1140,863.3474223,783.3654506,886.851249,824.8618743
1170,859.3664006,778.2454367,895.9842767,820.718984
1200,839.5414255,799.783263,916.2090105,793.6063588
1230,849.2254391,797.0732761,917.0272586,789.8933054
1260,849.7804201,800.7370456,902.8569382,803.9407129
1290,849.0541792,801.0716299,935.0193895,768.6555791
1320,850.7407922,795.9760256,921.7421218,769.8847321
1350,847.6992029,801.5776928,919.3926676,767.7588413
1380,865.2859074,801.728306,910.4948238,786.4848281
1410,839.3749842,798.4742264,914.7863457,784.6222662
1440,835.8380307,795.4050438,914.0346877,780.9818572
1470,844.7666919,794.6297222,915.7839385,781.1331223
1500,844.1300363,796.6214586,904.4009729,776.2806814
1530,837.4198883,792.9004259,898.5299076,783.5038607
1560,839.7022949,792.1683736,889.0348205,789.3408899
1590,830.2146561,793.4384361,897.3985315,790.6783971
1620,826.3112212,793.8851507,890.1719901,800.8244273
