Date,Rep,ID,Event,Tandem.enter,Fem.Enter.Trap,VideoLength,Trap.10min,Trap.20min,Trap.30min,Note
210517,1,1,1,1,17,28.05,both,both,NA,
210518,1,2,1,1,5,50.53,both,both,both,
210518,2,3,1,1,6'21,1.03.01,both,both,both,
210518,3,4,1,1,5'06,1.12.34,both,female,female,
210518,4,5,1,1,51'05,3.04.01,both,both,both,
210518,5,6,1,1,16'33,1.01.59,both,both,both,
210518,6,7,1,1,1'43,1.16.54,both,both,female,
210518,7,8,1,1,5'20,3.04.01,both,both,0,
210518,8,9,1,1,2'53,3.04.01,both,both,0,
210519,1,10,1,1,2'50,3.04.01,0,0,0,
210519,1,10,2,1,2'28'28,3.04.01,both,both,both,
210519,2,11,NA,0,NA,3.04.01,NA,NA,NA,
210520,1,12,1,1,47'48,2.51.14,female,female,0,
210520,1,12,2,1,2'2'20,2.51.14,both,both,both,
210520,2,13,1,1,7'39,2.51.18,0,0,0,
210520,2,13,2,1,13'37,2.51.18,female,0,0,
210522,1,14,NA,0,NA,1.10.38,NA,NA,NA,
210522,2,15,1,1,40,1.10.31,both,both,both,
210523,1,16,1,1,12,59.28,both,both,both,
210523,2,17,1,1,13,59.52,both,both,both,Tracking data is only available ~21 min because the container moved accidentally
210528,1,18,1,1,8'47,11.34.51,both,both,0,
210528,1,18,2,1,2'45'17,11.34.51,male,male,male,
210528,1,18,3,1,1'19'52,11.34.51,both,male,male,
210606,1,19,NA,0,NA,6.08.02,NA,NA,NA,
210606,2,20,NA,0,NA,3.04.01,NA,NA,NA,
210607,1,21,1,1,1'53,1.28.13,NA,NA,NA,male escaped but male recaught at the same place
210607,2,22,1,1,6,3.04.01,male,male,male,
210607,3,23,NA,0,NA,1.24.46,NA,NA,NA,
210607,4,24,NA,0,NA,6.08.02,NA,NA,NA,
210607,5,25,1,1,3,3.04.01,both,male,male,female escaped butfe male recaught at the same place after 1 hr
210607,6,26,1,1,1'03,1.24.44,male,male,male,
210607,7,27,NA,0,NA,3.04.01,NA,NA,NA,
210607,8,28,1,1,50'14,2.05.10,female,female,NA,male escaped but male recaught at the same place
210607,9,29,1,1,1'29,1.11.43,female,female,female,
210607,10,30,NA,0,NA,2.10.28,NA,NA,NA,
