,name,width,height,length,fps,frame,scale,bodyLength0,bodyLength1
0,210517_cf-fm-01_cut_trim_ds,436,228,8147,5,0,0,50.695167422546305,48.81854155953453
1,210518_cf-fm-01_cut_trim_ds,246,240,8986,5,0,0,48.386465049639654,48.81085944746312
2,210518_cf-fm-02_cut_trim_ds,296,344,8986,5,6000,0,39.881073205218534,41.246211947280685
3,210518_cf-fm-03_cut_trim_ds,362,326,4556,5,0,0,45.12205669071391,44.553338819890925
4,210518_cf-fm-04_cut_trim_ds,164,216,8986,5,0,0,44.25494322671762,37.51333096380539
5,210518_cf-fm-05_cut_trim_ds,402,412,8986,5,0,0,44.52527372178637,46.95742752749558
6,210518_cf-fm-06_cut_trim_ds,468,356,7133,5,0,0,45.89389937671455,41.773197148410844
7,210518_cf-fm-07_cut_trim_ds,242,260,8986,5,0,0,42.5,42.10997506529777
8,210518_cf-fm-08_cut_trim_ds,266,206,8382,5,0,0,46.82413907377262,47.01595473879053
9,210519_cf-fm-01-2_cut_trim_ds,282,184,2633,5,0,0,51.022054055084844,49.70160963188214
10,210519_cf-fm-01_cut_trim_ds,320,234,2643,5,0,0,51.70348150753487,47.59464255564905
11,210520_cf-fm-01-1_cut_trim_ds,246,212,2753,5,0,0,46.97073557013984,38.890872965260115
12,210520_cf-fm-01-2_cut_trim_ds,244,212,8986,5,0,0,44.93606569338264,40.660177077823946
13,210520_cf-fm-02-1_cut_trim_ds,228,184,380,5,0,0,44.553338819890925,44.63462781294362
14,210520_cf-fm-02-2_cut_trim_ds,306,292,245,5,0,0,45.044422518220834,49.040799340956916
15,210522_cf-fm-02_cut_trim_ds,238,252,8986,5,0,0,47.265209192385896,46.98137929009748
16,210523_cf-fm-01_cut_trim_ds,158,172,8986,5,0,0,42.00297608503474,43.32435804486894
17,210523_cf-fm-02_cut_trim_ds,216,266,6434,5,0,0,47.4236228055175,48.46648326421054
18,210528_cf-fm-01-1_cut_trim_ds,264,222,6514,5,0,0,45.741119356657634,46.810789354592174
19,210528_cf-fm-01-2_cut_trim_ds,234,164,455,5,0,0,48.56439024635232,44.598206241955516
20,180,181,182,183,184,185,186,187.0,188.0
21,189,190,191,192,193,194,195,196.0,197.0
22,198,199,200,201,202,203,204,205.0,206.0
23,207,208,209,210,211,212,213,214.0,215.0
24,216,217,218,219,220,221,222,223.0,224.0
25,225,226,227,228,229,230,231,232.0,233.0
