,name,width,height,length,fps,frame,scale,bodyLength0,bodyLength1
0,210518_Cf-FM-08,1920,1080,55131,29.96994036,54000,1537.646843,64.05563988,58.75
1,210519_Cf-FM-01-2,1920,1080,54713,29.96994023,0,1526.365168,67.14024501,61.55536126
2,210519_Cf-FM-01,1920,1080,15855,29.96994122,0,1525.100407,66.01372963,60.13006735
3,210520_Cf-FM-01-2,1920,1080,54047,29.96994023,45000,1371.252279,55.05678886,46.38493829
4,210520_Cf-FM-01,1920,1080,51803,29.96994039,21000,1368.759132,55.80378571,54.60082417
5,210520_Cf-FM-02-1,1920,1080,6784,29.9699417,6000,1536.567807,65.44320056,58.8695592
6,210520_Cf-FM-02-2,1920,1080,25848,29.96994078,0,1535.344017,56.47178499,62.69968102
7,210522_Cf-FM-02,1920,1080,54036,29.96994021,0,1530.429372,58.96238208,59.29270613
8,210523_Cf-FM-01,1920,1080,54428,29.96994031,0,1371.255128,55.01420271,53.76453292
9,210523_Cf-FM-02-later,1920,1080,15623,29.9699399,15000,1525.041495,65.43126164,61.70747524
10,210523_Cf-FM-02,1920,1080,54674,29.96994016,0,1526.252048,60.94310872,63.36895928
11,210528_Cf-FM-01-1,1920,1080,54031,29.9699402,27000,1581.42835,60.13006735,58.55019214
12,210528_Cf-FM-01-2,1920,1080,55204,29.96994048,15000,1581.410071,63.94577781,57.00877125
13,210528_Cf-FM-01-3,1920,1080,54147,29.96994039,24000,1581.39278,59.29270613,54.45755228
14,210607_Cf-FM-02,1920,1080,54865,29.96994047,51000,1523.752051,71.03036323,63.36895928
15,210607_Cf-FM-05,1920,1080,54294,29.96994008,18000,1616.684976,65.40737726,65.96637401
16,210607_Cf-FM-06,1920,1080,54101,29.96994032,24000,1625.108169,62.51249875,62.1615838
17,210607_Cf-FM-08,1920,1080,55421,29.96994029,18000,1582.659945,62.8614548,64.14095805
18,210607_Cf-FM-09,1920,1080,54168,29.96994043,0,1585.260724,60.63466418,61.84658438
